sku,productId,name,format,shortDescription,manufacturer,genre,active,customerReviewAverage
1004622,1218207306495,360 ghost sniper warrior xbox,dvdrom ,as control death ghost jungle of power the the through you ,City Interactive,,true,3.4
1010544,1218208324030,360 monopoly streets xbox,dvdrom ,are illegal monopolies says who ,Electronic Arts,Board Games  Trivia,false,4.0
1011067,1218208014898,360 mysims skyheroes xbox,dvdrom ,action for highflying skies take the to ,Electronic Arts,Flight,false,2.0
1011491,1218208017272,11 360 fifa soccer xbox,dvdrom ,a action got just lot more personal soccer ,EA SPORTS,Sports  Outdoors,false,4.6
1011831,1218208016381,3 360 family game hasbro night xbox,dvdrom ,amusement fun park take the the to ,Electronic Arts,Board Games  Trivia,false,3.5
1012721,1218208321346,3 360 sims the xbox,dvdrom ,edition exciting give in neighborhood new of run sims the the this your ,Electronic Arts,Strategy  Simulation,false,3.8
1012876,1218208321876,360 ii two worlds xbox,,adventure can even have ii in much never too two worlds you ,SouthPeak,Role Playing,true,3.4
1013666,1218208322212,360 call collection duty of the war xbox,dvdrom ,brutal experience history's intensity most of raw the times vicious ,Activision,Shooters,false,4.5
1014064,1218208321345,360 castlevania lords of shadow xbox,dvdrom ,at days end of save the the world ,Konami,Action  Adventure,false,4.8
1032361,1218211701492,360 for hot need pursuit speed xbox,,and feel for gear into need need speed switch the the — ,Electronic Arts,Racing,true,4.2
1052221,1218214326529,3 360 capcom fate marvel of two vs worlds xbox,dvdrom ,are faceoff for legendary next ready the you ,Capcom,Fighting,false,4.0
1066233,1218216674807,360 guitar hero of rock warriors xbox,,an epic guitar hero on quest rock save skills to use your ,Activision,Music Dance  Party,false,4.8
1066515,1218216675087,2 360 dj hero xbox,dvdrom ,and become dance ever fill floors greatest master mix take the the the to to turntable ,Activision,Music Dance  Party,false,4.7
1066551,1218216674088,2011 360 raw smackdown vs wwe xbox,dvdrom ,and slam smash status superstar sweep to way your ,THQ,Sports  Outdoors,false,4.5
1004622,1218207306495,360 ghost sniper warrior xbox,dvdrom ,as control death ghost jungle of power the the through you ,City Interactive,,true,3.4
1010544,1218208324030,360 monopoly streets xbox,dvdrom ,are illegal monopolies says who ,Electronic Arts,Board Games  Trivia,false,4.0
1011067,1218208014898,360 mysims skyheroes xbox,dvdrom ,action for highflying skies take the to ,Electronic Arts,Flight,false,2.0
1011491,1218208017272,11 360 fifa soccer xbox,dvdrom ,a action got just lot more personal soccer ,EA SPORTS,Sports  Outdoors,false,4.6
1011831,1218208016381,3 360 family game hasbro night xbox,dvdrom ,amusement fun park take the the to ,Electronic Arts,Board Games  Trivia,false,3.5
1012721,1218208321346,3 360 sims the xbox,dvdrom ,edition exciting give in neighborhood new of run sims the the this your ,Electronic Arts,Strategy  Simulation,false,3.8
1012876,1218208321876,360 ii two worlds xbox,,adventure can even have ii in much never too two worlds you ,SouthPeak,Role Playing,true,3.4
1013666,1218208322212,360 call collection duty of the war xbox,dvdrom ,brutal experience history's intensity most of raw the times vicious ,Activision,Shooters,false,4.5
1014064,1218208321345,360 castlevania lords of shadow xbox,dvdrom ,at days end of save the the world ,Konami,Action  Adventure,false,4.8
1032361,1218211701492,360 for hot need pursuit speed xbox,,and feel for gear into need need speed switch the the — ,Electronic Arts,Racing,true,4.2
1052221,1218214326529,3 360 capcom fate marvel of two vs worlds xbox,dvdrom ,are faceoff for legendary next ready the you ,Capcom,Fighting,false,4.0
1066233,1218216674807,360 guitar hero of rock warriors xbox,,an epic guitar hero on quest rock save skills to use your ,Activision,Music Dance  Party,false,4.8
1066515,1218216675087,2 360 dj hero xbox,dvdrom ,and become dance ever fill floors greatest master mix take the the the to to turntable ,Activision,Music Dance  Party,false,4.7
1066551,1218216674088,2011 360 raw smackdown vs wwe xbox,dvdrom ,and slam smash status superstar sweep to way your ,THQ,Sports  Outdoors,false,4.5
1067848,1218216672986,360 homefront xbox,,america free home make more of once the the ,THQ,Shooters,true,2.7
1067948,1218216965748,360 armageddon faction red xbox,,a against fight new planet protect red terrifying the threat to ,THQ,Shooters,true,3.3
1078792,1218217780923,360 kombat mortal xbox,dvdrom ,is past past say some the the they're wrong ,WB Games,Fighting,true,4.4
1092494,1218220083676,360 driver francisco san xbox,dvdrom ,and bay by city driver's justice restore seat take the the the to ,Ubisoft Entertainment,Racing,true,5.0
